Time	Theta
116.55	86.9125
116.628	86.91247
116.706	86.91663
116.784	86.91734
116.862	86.91637
116.955	86.91599
117.033	86.91571
117.111	86.91763
117.189	86.91692
117.267	86.91689
117.345	86.91832
117.439	86.91798
117.517	86.91965
117.595	86.91848
117.673	86.91995
117.751	86.92021
117.829	86.91945
117.922	86.92104
118.	86.92149
118.078	86.92247
118.172	86.92327
118.25	86.9222
118.328	86.92145
118.421	86.92201
118.499	86.92366
118.577	86.92548
118.655	86.92324
118.733	86.92335
118.811	86.92661
118.889	86.92626
118.967	86.92904
119.045	86.92794
119.139	86.92829
119.217	86.93203
119.295	86.92976
119.389	86.93029
119.467	86.93199
119.545	86.93285
119.623	86.93344
119.701	86.93179
119.779	86.93526
119.872	86.93465
119.95	86.93408
120.028	86.93565
120.106	86.93851
120.184	86.93721
120.262	86.9365
120.34	86.93871
120.418	86.93815
120.496	86.94035
120.59	86.93831
120.668	86.93974
120.746	86.93996
120.839	86.94221
120.917	86.94174
120.995	86.94176
121.089	86.94156
121.167	86.94331
121.245	86.94041
121.339	86.94483
121.417	86.94421
121.495	86.94366
121.588	86.94315
121.666	86.94256
121.744	86.94611
121.838	86.9452
121.916	86.94447
121.994	86.94573
122.087	86.94449
122.165	86.94451
122.243	86.94396
122.321	86.94479
122.399	86.94402
122.477	86.94462
122.542	86.94915
122.651	86.94852
122.729	86.94995
122.823	86.95096
122.901	86.95078
122.979	86.95255
123.072	86.95312
123.15	86.95387
123.228	86.95438
123.306	86.95727
123.384	86.95482
123.462	86.95387
123.54	86.95463
123.618	86.9547
123.696	86.95713
123.774	86.95618
123.852	86.95692
123.93	86.95905
124.024	86.9593
124.102	86.95907
124.18	86.95971
124.258	86.9614
124.336	86.96175
124.414	86.9613
124.507	86.9614
124.585	86.96272
124.663	86.96307
124.741	86.96568
124.819	86.96516
124.897	86.96784
124.991	86.96513
125.069	86.96908
125.147	86.9675
125.24	86.96836
125.318	86.96906
125.396	86.96713
125.474	86.96738
125.552	86.9696
125.63	86.9691
125.724	86.97006
125.802	86.97123
125.88	86.9725
